"neighborhood","children","youth","working_age","preretired_age","senior","older_senior","drive_commute","passenger_commute","transit_commute","walk_commute","bike_commute","15min_commute","30min_commute","45min_commute","60min_commute","over_60min_commute","unemployment_female","employment_male","work_at_home","no_fixed_workplace","work_outside_canada","avg_total_income","avg_employment_income","avg_investment_income"
"Forest.Hill.North",0.16086209589255,0.117132594096517,0.420896454786819,0.134702483210995,0.166718725597376,0.0273309386225207,0.227237232547243,0.0144463532719038,0.212400437295018,0.0218647508980166,0.00741839762611276,0.0577854130876152,0.137045135092925,0.176089333125098,0.0710604404185538,0.0488052475402155,0.000616898328908324,0.000570045291269717,0.0484148055598938,0.0441199437763548,0.00390441980321724,85099,74708,41604
"Forest.Hill.South",0.127189713007827,0.126257920238539,0.394614237793515,0.142564293701081,0.210585165859113,0.0302832650018636,0.21943719716735,0.0093179276928811,0.170518076779724,0.0265560939247111,0.0139768915393217,0.0610324263883712,0.18263138278047,0.129985091315691,0.0409988818486769,0.0344763324636601,0.00050316809541558,0.000531121878494223,0.084793142005218,0.0368058143868804,0.00512486023108461,204521,164751,102730
"Glenfield.Jane.Heights",0.189892099307993,0.148240464399331,0.380112164245187,0.118231609327342,0.164146797415631,0.0229575940441442,0.203502672919878,0.0319766488472008,0.130038371978617,0.00918303761765767,0.00180381096061133,0.0409957036502575,0.107736709192877,0.0997015512774261,0.04935882719491,0.0811714932275098,0.000419796005378636,0.000334524941786101,0.0101669345052638,0.0610016070315831,0.0016398281460103,27984,29386,2423
"Greenwood.Coxwell",0.17063189290421,0.0905181383089408,0.502184920579871,0.122424915030866,0.113754595269474,0.0138725116182285,0.166123326628286,0.0190747034750642,0.211555802177984,0.0336408406742041,0.0402302836928626,0.0485537906637997,0.128667545259069,0.161614760352362,0.0762988139002566,0.0624263022820282,0.000534091697301796,0.000464729139210654,0.0520219185683568,0.0541027953110911,0.00242768953318998,46206,51648,4623
"Guildwood",0.130583845921145,0.107391348189977,0.33982051023495,0.156801452052032,0.265705354441867,0.0544519511949178,0.251083997176565,0.0176464656650197,0.133104769587577,0.0131088030654432,0.00100836946657255,0.0418473328627609,0.0872239588585258,0.110416456589694,0.0680649389936473,0.11243319552284,0.000847030351920944,0.000746193405263689,0.038318039729757,0.0499142885953413,0.00352929313300393,53203,51960,5835
"Henry.Farm",0.159320740316733,0.148190548877441,0.511670800737773,0.0884055205749539,0.092857597150671,0.00858614768174013,0.197481396680023,0.0206703555301151,0.217833746740444,0.0216243719391974,0.00127202187877631,0.0464287985753355,0.114163963620174,0.121796094892832,0.0788653564841315,0.100489728423329,0.000737772689690263,0.000585130064237105,0.0232143992876677,0.0489728423328881,0.0060421039241875,36359,40242,4445
"High.Park.North",0.128598501940258,0.0852811118130133,0.526125800920495,0.116641097373883,0.143488854796499,0.0248172547604007,0.165373161267034,0.0106037361248985,0.282465481454742,0.0234635863189243,0.0254940889811389,0.034744156664561,0.113256926270192,0.205757603104413,0.104458081400596,0.0534699034383178,0.00027073368829528,0.000374514935475138,0.0588845772042234,0.0593358000180489,0.00360978251060374,57465,58349,8149
"High.Park.Swansea",0.147962382445141,0.0888192267502612,0.483594566353187,0.119958202716823,0.158829676071055,0.0315569487983281,0.221943573667712,0.0144200626959248,0.197492163009404,0.025914315569488,0.0338557993730407,0.0445141065830721,0.126436781609195,0.185788923719958,0.0950888192267503,0.0478578892371996,0.000267502612330199,0.000234064785788924,0.0693834900731452,0.0499477533960293,0.00229885057471264,71204,70201,13462
"Highland.Creek",0.123659356491116,0.154073955498639,0.369777493196734,0.16167760525052,0.19169201216584,0.0152072995037618,0.30454618216744,0.0260124859932768,0.11845685929246,0.00600288138306387,0.00200096046102129,0.0500240115255323,0.116856090923643,0.116055706739235,0.0540259324475748,0.120858011845686,0.000640307347526813,0.000712341924123579,0.0240115255322555,0.0504242036177365,0.00520249719865535,40972,40718,5276
"Hillcrest.Village",0.124896657611905,0.128144561237747,0.357859926774536,0.133754576591473,0.254222274713594,0.0372032597141845,0.218200070863352,0.0188968938230778,0.128144561237747,0.0106295027754813,0.000590527931971182,0.0327743002244006,0.10511397189087,0.0953702610133459,0.0540333057753632,0.09241762135349,0.00051966458013464,0.000478327624896658,0.0416322192039683,0.0442895948978387,0.00826739104759655,40442,41429,9349
